### level_2 ###
# (row,col) #
#
1,1,2	1,3,1	1,5,2	1,7,1	1,9,2	1,11,1	1,13,2	1,15,1	1,17,2	1,19,1
2,2,1	2,4,2	2,6,1	2,8,2	2,10,1	2,12,2	2,14,1	2,16,2	2,18,1	2,20,2
3,1,1	3,3,2	3,5,1	3,7,2	3,9,1	3,11,2	3,13,1	3,15,2	3,17,1	3,19,2
4,2,2	4,4,1	4,6,2	4,8,1	4,10,2	4,12,1	4,14,2	4,16,1	4,18,2	4,20,1
5,1,2	5,3,1	5,5,2	5,7,1	5,9,2	5,11,1	5,13,2	5,15,1	5,17,2	5,19,1
6,2,1	6,4,2	6,6,1	6,8,2	6,10,1	6,12,2	6,14,1	6,16,2	6,18,1	6,20,2
7,1,1	7,3,2	7,5,1	7,7,2	7,9,1	7,11,2	7,13,1	7,15,2	7,17,1	7,19,2
8,2,2	8,4,1	8,6,2	8,8,1	8,10,2	8,12,1	8,14,2	8,16,1	8,18,2	8,20,1
9,1,2	9,3,1	9,5,2	9,7,1	9,9,2	9,11,1	9,13,2	9,15,1	9,17,2	9,19,1
10,2,1	10,4,2	10,6,1	10,8,2	10,10,1	10,12,2	10,14,1	10,16,2	10,18,1	10,20,2
